2026-06-11 16:35:23.615 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:36:12.958 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:36:12.961 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:36:12.963 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:36:12.966 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:36:12.967 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:36:12.969 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:36:12.972 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:36:12.997 +05:30 [WRN] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:36:12.999 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCT:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
